dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
1068,7,4,-0.585147202,150,100,81,400,5.377783298,872.3737793,7.348469257,13.67494583,80.53768158,-0.001269408,0.031991154,1
1045,7,6,-0.248230398,50,50,81,501,11.25112724,27.28913307,10.72380543,18.86838341,200.5560455,-0.004234176,-0.004104457,1
1083,6,4,-0.004170652,100,100,81,501,8.125001907,2570.552734,6.708203793,10.14210606,333.4349365,0.006104645,-0.035777088,1
1150,7,4,-0.348493695,150,50,81,100,8.071665764,6244.298828,11.53256226,19.79887581,180,-0.005330807,-0.035555556,1
1197,7,6,-0.436389059,100,50,66,500,7.21924448,4380.859863,10.90871239,19.91116714,186.3401947,-0.005611425,-0.016699402,1
1345,6,6,-0.652914822,50,150,81,501,6.474968433,4901.174316,17.05872154,29.49620819,171.8699036,0.000886214,-0.002375879,1
1485,4,4,-0.099753708,301,50,66,501,13.69169426,-725.8184814,7.745966911,15.020257,206.5650482,0,0.023851391,1
1486,6,6,-0.454203248,301,50,66,501,17.90607262,-141891.3125,5.567764282,5.111089706,243.4349518,-0.003794377,-0.171730027,1
1546,4,4,-0.112765953,150,50,66,501,13.19777012,-915.1603394,5.916079998,11.52797318,11.30993271,0.006599333,0.02836141,1
1498,6,6,-0.678441584,50,100,66,501,6.959040642,46.3660965,6.480740547,9.631651878,315,0.015332873,0.056568541,1
1342,6,6,-0.863720059,200,250,66,501,13.44305706,0.084193662,32.54227829,47.12401199,15.06848812,-0.001326416,0.009851842,1
868,4,4,-0.226235762,301,50,66,501,8.761043549,46.54963684,8.831760406,15.79316902,225,0.002851113,0.033941124,1
868,4,4,-0.158250749,301,50,66,501,9.857439041,139.3396912,8.426149368,15.79316902,261.8699036,-0.005303069,-0.024211336,1
866,6,6,-0.754644454,301,100,81,501,14.39683437,-3032.136719,13.74772739,24.09484291,206.5650482,-0.000973729,-0.011448668,1
865,6,6,-0.722859681,301,100,81,501,13.96677494,-2983.610107,17.63519287,30.21689796,195.9453888,0.001636271,-0.004354071,1
830,6,6,-0.526287258,301,50,81,501,6.006515503,2566.333008,15.62049961,26.32494736,284.0362549,0.008403175,0.015217922,1
741,7,6,-0.497523814,301,100,81,501,14.63360882,-985.5626221,7.211102486,12.1561451,201.8014069,-0.005772892,-0.060447033,1
1955,6,6,-0.764985502,50,501,81,501,13.18380356,-901.4387207,19.94993782,24.09484291,79.69515228,0.030614039,0.067432657,1
1861,7,6,-0.40090692,50,501,81,501,7.649605751,8459.457031,7.07106781,13.67494583,170.537674,-0.000317352,0.027725667,1
1387,6,6,-0.675649405,100,100,66,400,6.08316803,2770.78418,16.21727562,26.32494736,14.03624344,0.00027107,0.012174337,1
801,7,4,-0.228642628,100,200,66,501,14.69125938,-2738.185791,2.23606801,2.290610075,360,-0.006384671,0,1
955,2,2,-0.077442691,250,50,66,501,13.29396343,-876.5734863,10.34407997,17.87400818,299.744873,0.010100897,0.023204036,1
1236,6,6,-0.805615544,50,100,66,501,14.56860352,-5768.298828,4.472136021,8.206727028,56.30993271,-0.005728051,-0.00341354,1
1636,6,6,-0.727835059,100,200,66,501,15.23444462,-7006.773438,14.66287804,24.09484291,333.4349365,-0.008763561,-0.017173002,1
1782,4,6,-0.436989099,150,250,66,501,13.64864254,-725.2706909,29.25747681,43.27376556,77.73522949,0.006162083,0.010233434,1
1628,7,6,-0.432766646,100,400,66,250,12.06073284,-410.5412598,5.099019527,5.111089706,153.4349518,0.002529584,0.186040848,1
1684,6,6,-0.701173961,301,50,66,250,7.445252419,51.43785477,4,6.45483017,225,0.003139529,0.084852815,1
1661,5,6,-0.503785431,150,350,66,501,15.7940464,-120834.9141,8.062257767,14.1969471,198.4349518,0.000874699,-0.003794733,1
1547,6,6,-0.5136621,301,150,66,501,13.58099174,-149.6441345,16.37070465,28.08734894,347.0053711,-0.003950269,0.010779781,1
1227,4,4,-0.236663848,301,50,66,501,4.946627617,1150.584229,9.643651009,16.94235802,246.8014069,0.010673411,0.001992235,1
1479,6,6,-0.75214237,50,250,66,501,6.382940769,8712.15332,12.68857765,23.30701447,201.8014069,-0.000854761,0.002561315,1
912,1,4,0.038588088,100,50,81,501,14.95481777,-8487.475586,4.690415859,8.206727028,33.69006729,-0.005728051,-0.00341354,1
929,4,6,-0.347691029,50,50,81,501,16.18625259,-2055.958496,11.83216,21.80140877,36.86989594,0,0,1
1009,4,6,-0.393868387,50,200,81,501,10.07080269,4791.103516,19.02629852,31.83891678,75.06858063,-0.011999789,-0.020014293,1
1262,6,6,-0.773182988,50,501,66,500,14.59507656,-418.769989,13,21.80140877,126.8698959,-0.002458862,-0.024320001,1
1739,6,6,-0.420475692,200,200,66,501,14.71717262,-1745.599854,14.66287804,24.51631355,127.8749847,-0.003652351,-0.017433215,1
1270,6,6,-0.815195084,150,300,81,501,4.992748737,5281.944824,19.02629852,32.82123184,352.8749695,-0.001051827,-0.017097712,1
1173,4,6,-0.476361334,150,400,66,501,14.3133831,-150.5726624,12.80624866,21.89988136,275.7106018,-0.000303686,-0.014974817,1
1259,6,6,-0.453161359,300,150,66,501,7.856232166,3963.799561,15,26.02450943,34.99201965,-0.003708935,-0.002639136,1
1102,6,4,-0.257804424,250,50,81,400,7.390786171,15.06129646,2.23606801,3.237688065,315,0.004777052,0.141421363,1
1135,4,4,-0.234120607,100,50,66,501,7.631340981,332.6213684,8.944272041,16.08989334,236.3099365,0.003493523,0.030721856,1
1140,7,6,-0.310378492,100,50,66,501,14.4538765,-363.6246643,12.76714516,21.80140877,216.8699036,-0.007376587,-0.00896,1
1276,6,6,-0.500416696,50,200,66,500,13.81562233,-125.4785538,13.74772739,25.00792885,30.96375656,-0.001050764,0.003026446,1
1426,6,6,-0.754707396,200,100,66,501,8.984704018,154.8869019,10.63014603,18.9879818,54.46232224,-0.006690732,-0.014201063,1
1402,6,6,-0.815120876,250,100,66,501,14.98053741,-5441.80957,6.63324976,11.52797318,348.6900635,0.008335999,0.019309897,1
1338,6,6,-0.740445852,100,100,66,501,9.158614159,184.3075256,11.18033981,18.9879818,35.53767776,0.006690732,0.014201063,1
1516,5,6,-0.486632943,300,100,66,501,7.154399395,563.0944824,13.71130943,25.71843338,184.7636414,-0.009134449,-0.013928732,1
1525,6,6,-0.770274043,100,50,66,501,6.082992554,774.8685913,4.358899117,7.20912075,71.56504822,0.005936945,-0.04806662,1
1190,6,6,-0.576954544,301,250,81,200,8.590548515,2330.196045,20.02498436,31.99796486,320.1944275,-0.007615308,-0.041475553,1
862,7,6,-0.515676618,301,100,81,501,6.776705265,31463.80078,13.30413437,23.39650154,236.3099365,-0.001141753,-0.011378465,1
1518,6,6,-0.684054792,50,200,66,501,13.35099888,-1491.805786,3.31662488,5.111089706,26.56505203,0.001264792,0.05724334,1
1475,7,6,-0.428202301,250,450,66,501,16.50832939,-1853.521729,14.59451962,25.00792885,239.0362396,-0.003572599,-0.017149858,1
1444,6,6,-0.765050173,301,150,66,501,9.138895988,4096.727539,14.35270023,25.71843338,228.3664551,0.000871485,-0.015761459,1
1293,5,6,-0.486893713,301,501,66,501,12.65729523,-965.8805542,6.480740547,11.30993271,180,0.006034343,0.064000003,1
1189,6,6,-0.786684752,200,501,66,500,10.61480999,49924.30859,11.22497177,19.68572998,153.4349518,-0.002136861,-0.02862167,1
1151,6,6,-0.769324541,250,501,66,150,14.08861828,-400.4257813,21.44761086,34.26173019,40.23635864,-0.001831419,-0.014028489,1
1977,6,6,-0.730465949,301,501,66,200,4.496871471,2795.088867,10.86278057,20.24305534,319.3987122,-0.006964847,0.005512586,0
1850,6,6,-0.772159219,301,501,66,501,12.44322395,-1088.225952,8.774964333,14.36605644,308.6598206,-0.007521088,0.057289109,0
731,5,6,-0.500275791,100,250,66,501,14.73850346,-4271.980957,7,11.52797318,168.6900635,-0.004283777,-0.040430095,0
1232,4,6,-0.443412483,200,501,66,501,13.84667397,-105.3498383,10.67707825,18.74779129,315,0.00543439,0.018856181,0
1955,6,6,-0.571829975,150,501,66,501,16.17618179,-149937.9688,9.643651009,17.34932518,50.19442749,-0.002280993,-0.012090039,0
