dem_elevation,lulc,ndvi,ndwi,rivers,roads,geology,faults,twi,spi,tri,slope,aspect,profile,plan,Landslide
176,6,6,-0.625140309,3,500,29,500,5.703938007,134.901001,21.11871147,33.84273148,342.6459656,0.008834665,0.043817762,1
47,6,4,-0.541885436,5,50,3,200,8.367239952,860.7483521,13.60147095,24.09484291,63.43494797,0.000973729,-0.017173002,1
51,6,6,-0.524806559,4,100,3,500,8.975070953,164.3943634,4.358899117,8.206727028,213.6900635,0.001432013,0.034135398,1
48,3,1,-0.532635808,3,50,3,200,8.798875809,265.0715942,5.385164738,11.30993271,90,0.006034343,0,1
50,3,6,-0.642324865,3,100,3,100,7.119040489,19.76423454,4.582575798,7.20912075,71.56504822,0.007186828,0.043006975,1
37,2,4,-0.445557803,6,50,3,200,7.383137226,43.75469971,5.19615221,9.365158081,75.96375275,0.000361617,0.036523011,1
43,3,4,-0.508323252,3,50,3,200,11.9592123,0,1.732050776,0,0,0,0,1
62,6,6,-0.689856172,6,100,27,500,7.894869804,656.9158936,14.79864883,26.32494736,165.9637604,-0.010029595,-0.010652545,1
44,5,4,-0.645130157,3,200,3,500,7.371715069,132.3178864,8.485280991,16.08989334,236.3099365,-0.002620142,0.010240619,1
39,3,6,-0.576117694,6,50,3,100,7.940505505,80.89284515,5.656854153,9.631651878,45,-0.006133149,0.037712362,1
151,5,1,-0.784860551,3,100,27,501,9.727720261,456.3145142,5.19615221,9.365158081,194.0362396,-0.000361617,-0.036523011,1
72,3,1,-0.68279171,1,50,22,501,8.787713051,304.0697021,7.141428471,12.1561451,68.19859314,-0.003092621,-0.014343364,1
46,3,1,-0.626535594,3,100,15,200,7.465614319,13.97542572,3.464101553,5.111089706,296.5650635,-2.09E-19,0.071554177,1
39,2,4,-0.479097307,3,50,15,200,9.570763588,114.7149506,3.162277699,5.111089706,206.5650482,-0.002529584,-0.042932507,1
81,5,6,-0.611716628,4,200,12,200,7.141940594,202.2205811,11.66190338,21.80140877,233.1300964,0,0,1
79,7,1,-0.741263926,1,500,15,200,7.775826931,141.0329285,7.211102486,13.67494583,189.462326,-0.001269408,0.031991154,1
59,3,1,-0.59584707,3,500,15,501,9.41226387,509.0817566,6.480740547,11.52797318,101.3099289,-0.007178222,-0.02534424,1
22,3,6,-0.407754362,3,50,6,200,10.84986687,164.8873138,2.645751238,3.237688065,45,-0.007961753,-0.084852815,1
94,6,1,-0.637504876,3,500,15,501,8.200341225,891.6089478,15.32971001,26.32494736,75.96375275,0.001897491,-0.018261505,1
36,3,6,-0.442554951,5,100,6,200,7.119040489,19.76423454,4,7.20912075,288.4349365,0.004374591,0.065775372,1
31,6,4,-0.535832405,4,50,6,500,9.90724659,32.12052155,2.449489832,2.290610075,90,-0.006384671,0,1
44,6,1,-0.689922452,4,100,6,500,7.636077404,26.51650429,3,6.45483017,315,0.001569764,-0.014142135,1
27,3,4,-0.507406473,2,50,38,500,10.84243965,327.3343811,2.828427076,4.573921204,180,0,0,1
19,3,6,-0.22287634,4,50,16,50,10.04789734,184.8571167,3.605551243,5.111089706,296.5650635,0.001264792,-0.085865013,1
589,7,4,-0.594265223,1,100,36,501,7.148679256,264.6642151,14.66287804,24.51631355,142.1250153,-0.004690582,0.013655119,1
47,5,6,-0.730738461,2,200,38,50,7.632516384,241.1029816,10,18.86838341,20.55604553,-0.001559959,-0.013339484,1
29,6,6,-0.605297983,2,200,38,500,8.527908325,161.723587,5.47722578,10.14210606,296.5650635,0,0,1
22,3,4,-0.437386572,1,100,38,500,9.891511917,126.4762192,2.23606801,4.573921204,360,0,0,1
21,2,4,-0.475609779,3,50,37,501,9.330673218,36.09191132,2.23606801,3.237688065,135,-0.004777052,-0.141421363,1
182,6,6,-0.731426954,1,50,36,501,8.957983017,919.9291992,10.77032948,18.9879818,305.5376892,-0.005411083,-0.018599622,1
22,3,4,-0.369571418,5,50,37,501,9.987160683,139.1709747,3,4.573921204,360,0,0,1
49,7,6,-0.593798459,1,200,37,501,7.600644112,63.9834671,5.744562626,10.14210606,153.4349518,-0.001220929,0.007155417,1
